SMILES,Smiles_Solvent,Smiles_Merged,Predicted_LogS,Prediction_Status,Prediction_Error
CC[N+]1=C(/C=C/C=C/C=C/C=C2/N(CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,CC[N+]1=C2/C=C/C=C/C=C/C=C3/N(CCCCCC(=O)(O)~O~[O-]S(=O)(=O)c4ccc1c(c4)C2(C)C)c1ccc(S(=O)(=O)O)cc1C3(C)C,-4.47025203704834,ok,
CN1/C(=C\C=C\C=C\C=C\C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,O,C[N+]1=C2/C=C/C=C/C=C/C=C3/C(C)(C)c4ccccc4N3(C)~O~c13ccccc3C2(C)C,-6.8068132400512695,ok,
CN1/C(=C/C=C/C=C/C=C/C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,O,C[N+]1=C2/C=C/C=C/C=C/C=C3\C(C)(C)c4ccccc4N3(C)~O~c13ccccc3C2(C)C,-6.909885406494141,ok,
CCN1C(=CC=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,O,CC[n+]1c2ccccc2sc12~O~N1(CC)C(=CC=CC=CC=C2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
CCCCn1c(=CC=CC2=[N+](CCCC)c3cccc4cccc2c34)c2cccc3cccc1c32,O,CCCC[N+]1=C2C=CC=c3c4cccc5cccc(c54)n3(CCCC)~O~c13cccc1cccc2c13,-7.4903764724731445,ok,
CCCN1/C(=C\C=C2/CCCC(/C=C/C3=[N+](CCC)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,O,CCC[N+]1=C2/C=C/C3=C(Cl)/C(=C/C=C4/C(C)(C)c5ccccc5N4(CCC)~O~c14ccccc4C2(C)C)CCC3,-7.357718467712402,ok,
CC[N+]1=C(C=CC=CC=CN(C)C)C(C)(C)c2c1ccc1ccccc21,O,CC[N+]1=C2C=CC=CC=CN(C)(C)~O~c13ccc1ccccc1c3C2(C)C,-6.168764114379883,ok,
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3\N(CCCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,O,CC1(C)C2=[N+](CCCCS(=O)(=O)[O-])c3(~O~[O-]S(=O)(=O)CCCCN4/C(=C\C=C5/CCCC(=C5Cl)/C=C/2)C(C)(C)c2ccccc24)ccccc31,-4.375239849090576,ok,
CC(/C=C/C=C(\C)C(=O)[O-])=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)[O-].[Na+].[Na+],O,CC(/C=C/C=C(\C)C(=O)[O-])=C\C=C\C=C(C)\C=C\C=C(/C)C([O-])=O~O~[Na+].[Na+],-1.755544900894165,ok,
CC[N+]1=C(/C=C/C=C/C=C/C=C2/N(CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,CC[N+]1=C2/C=C/C=C/C=C/C=C3/N(CCCCCC(=O)(ON4C(=O)CCC4=O)~O~[O-]S(=O)(=O)c4ccc1c(c4)C2(C)C)c1ccc(S(=O)(=O)O)cc1C3(C)C,-4.361340522766113,ok,
