SMILES,Smiles_Solvent,Smiles_Merged,Predicted_LogS,Prediction_Status,Prediction_Error
CN1/C(=C\C=C\C=C\C=C\C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CS(C)=O,C[N+]1=C2/C=C/C=C/C=C/C=C3/C(C)(C)c4ccccc4N3(C)~S(C)(C)=O~c13ccccc3C2(C)C,-3.5048160552978516,ok,
CN1/C(=C/C=C/C=C/C=C/C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CS(C)=O,C[N+]1=C2/C=C/C=C/C=C/C=C3\C(C)(C)c4ccccc4N3(C)~S(C)(C)=O~c13ccccc3C2(C)C,-3.6272449493408203,ok,
CCN1C(=CC=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,CS(C)=O,CC[n+]1c2ccccc2sc12~O=S(C)(C)~N1(CC)C(=CC=CC=CC=C2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
CCCCn1c(=CC=CC2=[N+](CCCC)c3cccc4cccc2c34)c2cccc3cccc1c32,CS(C)=O,CCCC[N+]1=C2C=CC=c3c4cccc5cccc(c54)n3(CCCC)~S(C)(C)=O~c13cccc1cccc2c13,-2.954448938369751,ok,
CCCN1/C(=C\C=C2/CCCC(/C=C/C3=[N+](CCC)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,CS(C)=O,CCC[N+]1=C2/C=C/C3=C(Cl)/C(=C/C=C4/C(C)(C)c5ccccc5N4(CCC)~S(C)(C)=O~c14ccccc4C2(C)C)CCC3,-3.801057815551758,ok,
CC[N+]1=C(C=CC=CC=CN(C)C)C(C)(C)c2c1ccc1ccccc21,CS(C)=O,CC[N+]1=C2C=CC=CC=CN(C)(C)~S(C)(C)=O~c13ccc1ccccc1c3C2(C)C,-2.977320671081543,ok,
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3\N(CCCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,CS(C)=O,CC1(C)C2=[N+](CCCCS(=O)(=O)[O-])c3(~O=S(C)(C)~[O-]S(=O)(=O)CCCCN4/C(=C\C=C5/CCCC(=C5Cl)/C=C/2)C(C)(C)c2ccccc24)ccccc31,-3.1936964988708496,ok,
CC(/C=C/C=C(\C)C(=O)[O-])=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)[O-].[Na+].[Na+],CS(C)=O,CC(/C=C/C=C(\C)C(=O)[O-])=C\C=C\C=C(C)\C=C\C=C(/C)C([O-])=O~S(C)(C)=O~[Na+].[Na+],-4.045814037322998,ok,
CC[N+]1=C(/C=C/C=C/C=C/C=C2/N(CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,CS(C)=O,CC[N+]1=C2/C=C/C=C/C=C/C=C3/N(CCCCCC(=O)(ON4C(=O)CCC4=O)~O=S(C)(C)~[O-]S(=O)(=O)c4ccc1c(c4)C2(C)C)c1ccc(S(=O)(=O)O)cc1C3(C)C,-3.3776443004608154,ok,
CN1/C(=C\C=C\C=C\C2=[N+](C)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,CS(C)=O,C[N+]1=C2/C=C/C=C/C=C3/C(C)(C)c4c(ccc5ccccc45)N3(C)~S(C)(C)=O~c13ccc1ccccc1c3C2(C)C,-3.802574396133423,ok,
